"Package","Version"
"brew","1.0-6"
"commonmark","1.5"
"desc","1.2.0"
"devtools","1.13.6"
"git2r","0.23.0"
"memoise","1.1.0"
"pkgbuild","1.0.0"
"pkgload","1.0.0"
"praise","1.0.0"
"roxygen2","6.1.0"
"testthat","2.0.0"
"withr","2.1.2"
